iter	Logloss
0	0.6822787698
1	0.6721270215
2	0.6615242238
3	0.6529954475
4	0.6439348655
5	0.6351258491
6	0.6268761299
7	0.6181568849
8	0.6103726398
9	0.6027615292
10	0.5952753941
11	0.588262534
12	0.5817220484
13	0.5748485144
14	0.5689174634
15	0.5632078297
16	0.5582449338
17	0.5531213242
18	0.5476907138
19	0.5423940089
20	0.5376230121
21	0.5332011619
22	0.5291904235
23	0.5248654055
24	0.5210978654
25	0.5172647347
26	0.5132476703
27	0.5093916855
28	0.5055721654
29	0.5021369303
30	0.4992471684
31	0.49612353
32	0.4931772932
33	0.4901116679
34	0.4874762171
35	0.4843990916
36	0.4821692355
37	0.4797036806
38	0.4773573281
39	0.4751113639
40	0.4727627335
41	0.470578655
42	0.4681227486
43	0.4661392967
44	0.4640694873
45	0.4621612182
46	0.4602526255
47	0.4585350527
48	0.4567917133
49	0.4551935203
50	0.4534508494
51	0.452156966
52	0.4507615776
53	0.4494231193
54	0.4478106408
55	0.4463322646
56	0.4448287187
57	0.4433790158
58	0.442036806
59	0.440860149
60	0.4397860602
61	0.438597571
62	0.437651014
63	0.4366960288
64	0.4355483085
65	0.4342971246
66	0.4334225461
67	0.4322471995
68	0.4314260381
69	0.4305625678
70	0.4295754613
71	0.4286095595
72	0.4275748944
73	0.4266854887
74	0.4258809261
75	0.4249605625
76	0.4240914938
77	0.4234600017
78	0.422637678
79	0.4217102415
80	0.4212460507
81	0.4205669576
82	0.4199976653
83	0.4193156064
84	0.4187191455
85	0.417910112
86	0.4172211347
87	0.4164803703
88	0.4156952285
89	0.414973633
90	0.4144325357
91	0.4139254831
92	0.4133601636
93	0.4128224098
94	0.4123310231
95	0.4117899598
96	0.4113845169
97	0.4109090161
98	0.4101729235
99	0.4096992348
100	0.4091314292
101	0.408477853
102	0.4079820916
103	0.4076087508
104	0.4071162698
105	0.4065057671
106	0.4060553189
107	0.4056127799
108	0.4051973906
109	0.4048400442
110	0.404334481
111	0.4037094947
112	0.4032024673
113	0.4026316599
114	0.4021902277
115	0.4017981582
116	0.4013265186
117	0.4007407964
118	0.400410319
119	0.4000284663
120	0.3996581121
121	0.3992533807
122	0.3989717421
123	0.3986733843
124	0.3983665932
125	0.3980004887
126	0.397609764
127	0.3973612653
128	0.3970383944
129	0.3964981679
130	0.3960847755
131	0.395711128
132	0.3953187683
133	0.3950080033
134	0.39463753
135	0.3943314237
136	0.3940842017
137	0.3937376777
138	0.3933102781
139	0.3928810308
140	0.3925028062
141	0.3921231034
142	0.3918486513
143	0.3913914562
144	0.3911469879
145	0.3907756872
146	0.3904508572
147	0.3901036216
148	0.3897892357
149	0.3895118139
150	0.3893511305
151	0.3891178491
152	0.3890392055
153	0.3887258988
154	0.3884591606
155	0.3881650586
156	0.3879199211
157	0.3876240427
158	0.3873595659
159	0.3870924272
160	0.3869331358
161	0.3867705298
162	0.3865980401
163	0.3864026701
164	0.3861646354
165	0.3858505261
166	0.385583289
167	0.3853117031
168	0.3849907327
169	0.3847961947
170	0.3845155099
171	0.3842074165
172	0.3840562936
173	0.383620359
174	0.3834506261
175	0.3832250945
176	0.3830907449
177	0.3828939951
178	0.3826592288
179	0.3823524998
180	0.3821306177
181	0.3818578505
182	0.381531566
183	0.3812727846
184	0.3809166273
185	0.3806825244
186	0.3804647692
187	0.3802830607
188	0.3800742837
189	0.3797829703
190	0.3795780097
191	0.3793410531
192	0.3791692278
193	0.3789364551
194	0.3786944759
195	0.378512192
196	0.3782105163
197	0.3780052766
198	0.3777948078
199	0.3776340834
200	0.3773903428
201	0.3772094075
202	0.3770710485
203	0.3767958586
204	0.3765056032
205	0.3762288449
206	0.3759505976
207	0.3756870823
208	0.3755455393
209	0.3753188756
210	0.3751221604
211	0.3749787462
212	0.3747827823
213	0.3745639849
214	0.3742534667
215	0.3740850383
216	0.3738129141
217	0.3736236634
218	0.3734392041
219	0.3733262056
220	0.3730384438
221	0.372883218
222	0.3726742654
223	0.3724294377
224	0.3722368826
225	0.3719894097
226	0.3718075766
227	0.3715449309
228	0.3713086489
229	0.3711949773
230	0.3709262192
231	0.3707056172
232	0.3704391204
233	0.3700914564
234	0.3697775735
235	0.3696331713
236	0.3693696831
237	0.3691405416
238	0.3688981568
239	0.3687441513
240	0.3686454395
241	0.3684628103
242	0.3683013739
243	0.3681740185
244	0.3679577632
245	0.3677518125
246	0.3676416676
247	0.3674019433
248	0.3671593695
249	0.3668277011
250	0.3666846748
251	0.3664475676
252	0.3662776464
253	0.3659638001
254	0.3656943285
255	0.3655197465
256	0.3651994909
257	0.364965756
258	0.3648041414
259	0.3645585011
260	0.3643211743
261	0.3641286213
262	0.3638994727
263	0.3635598113
264	0.3633929143
265	0.3631433929
266	0.3629561232
267	0.3626736697
268	0.3624720966
269	0.3622838954
270	0.3620927846
271	0.3619558514
272	0.3617654615
273	0.3615520842
274	0.3614370908
275	0.3612491834
276	0.3612097484
277	0.3610037462
278	0.3608802488
279	0.3607468486
280	0.3605269112
281	0.3604019675
282	0.3602401381
283	0.3599664384
284	0.3598329555
285	0.3596445878
286	0.3593649256
287	0.3590516842
288	0.3588614832
289	0.358737826
290	0.3585892314
291	0.3583716497
292	0.3580794533
293	0.3578923084
294	0.357794163
295	0.3576836651
296	0.3574682957
297	0.3571872116
298	0.3569327905
299	0.3567168018
300	0.3564605521
301	0.356131504
302	0.3559100098
303	0.3557760197
304	0.3556054222
305	0.3553095883
306	0.3551756631
307	0.3550279017
308	0.3548350025
309	0.3548087591
310	0.3545895951
311	0.3544242547
312	0.3543249121
313	0.3543004904
314	0.3542230255
315	0.3539957351
316	0.3537898547
317	0.3535620999
318	0.3532863241
319	0.3531641428
320	0.3530790585
321	0.3529321488
322	0.3526766888
323	0.3525240133
324	0.3523810078
325	0.3522527554
326	0.3520308353
327	0.3518150671
328	0.3515287178
329	0.3513017163
330	0.3511812162
331	0.3510684433
332	0.3508380572
333	0.3505233969
334	0.3503627969
335	0.3501378759
336	0.3499761417
337	0.3497792258
338	0.3497044776
339	0.3494917531
340	0.3494161919
341	0.3493146362
342	0.3490898577
343	0.3489737022
344	0.3487920659
345	0.3485693712
346	0.3484530832
347	0.3483359087
348	0.3482192378
349	0.3479755614
350	0.3478352888
351	0.3476368601
352	0.3474068277
353	0.3473084671
354	0.3472754815
355	0.3470429184
356	0.3468944687
357	0.3467093502
358	0.3465141951
359	0.3464944562
360	0.3463124394
361	0.3461519582
362	0.346075078
363	0.3458746308
364	0.3456589463
365	0.3454918059
366	0.3454205792
367	0.3452844332
368	0.3451827255
369	0.345058324
370	0.344863928
371	0.3446460705
372	0.3444933158
373	0.3443264422
374	0.3440961187
375	0.3439198323
376	0.3436618062
377	0.3434588605
378	0.34325279
379	0.3431033444
380	0.3429814804
381	0.3428237633
382	0.3426461481
383	0.3424788377
384	0.3423462976
385	0.3421287593
386	0.3419849021
387	0.3417690142
388	0.341663146
389	0.3415581243
390	0.341428112
391	0.3413145861
392	0.3411082002
393	0.3410886255
394	0.3409819426
395	0.3407584129
396	0.3405451154
397	0.3404005851
398	0.3402497954
399	0.3400746828
400	0.3399399277
401	0.3397522937
402	0.3394586627
403	0.3392573464
404	0.3391144202
405	0.3388269516
406	0.3386928239
407	0.3383975611
408	0.3382887088
409	0.3381797521
410	0.3379616542
411	0.3378951716
412	0.3377203258
413	0.337543306
414	0.3373389489
415	0.3372618819
416	0.3371322138
417	0.3368874231
418	0.3367062121
419	0.3365539829
420	0.3364604941
421	0.3362679426
422	0.3361119051
423	0.3359597361
424	0.3356539143
425	0.335354403
426	0.3352319732
427	0.3350414373
428	0.3348608867
429	0.3347602918
430	0.3345888638
431	0.3344218091
432	0.3343398556
433	0.3340826463
434	0.3339356817
435	0.3339241901
436	0.3338499241
437	0.3336734727
438	0.3333958614
439	0.3331978507
440	0.3330402628
441	0.3329432322
442	0.3328596461
443	0.3325625446
444	0.3322733292
445	0.3319450767
446	0.3316809052
447	0.3314454395
448	0.3312649278
449	0.3311523775
450	0.3310329666
451	0.3309287507
452	0.3308122861
453	0.3307227473
454	0.3305588605
455	0.3304794254
456	0.3302687862
457	0.3301179171
458	0.3298940244
459	0.3297038409
460	0.3296418428
461	0.3294647646
462	0.3292257251
463	0.3290643015
464	0.3289232084
465	0.3288048822
466	0.328714724
467	0.3285997418
468	0.3284775832
469	0.32830363
470	0.3281883169
471	0.3279889698
472	0.3277996973
473	0.3276273729
474	0.3274917527
475	0.327353708
476	0.3272796618
477	0.3271981344
478	0.3270371854
479	0.3268354283
480	0.326658107
481	0.3265552641
482	0.3263775749
483	0.3261866642
484	0.3259022433
485	0.3257351744
486	0.3255365859
487	0.325444956
488	0.3253498837
489	0.3251829021
490	0.3249471991
491	0.3247782949
492	0.32469026
493	0.3245715163
494	0.3244087924
495	0.3242970728
496	0.3241181316
497	0.3238411903
498	0.3236025019
499	0.323451281
500	0.3234037365
501	0.3233544169
502	0.3231295119
503	0.3229425878
504	0.3228187962
505	0.3226575096
506	0.3225083746
